class_name, Mean Altimetria, Mean Declividade, Standard deviation Declividade, Standard deviation Altimetria
Colinas e Maciços Costeiros, 63.71030151, 15.49244696, 6.693100541, 57.61417998
Colinas e Maciços Costeiros, 25.12445825, 8.917611064, 4.975683739, 18.94533605
Colinas e Maciços Costeiros, 207.6720257, 22.38949833, 7.209782502, 148.8312912
Colinas e Maciços Costeiros, 106.424588, 17.61715826, 8.165472955, 61.02373376
Colinas e Maciços Costeiros, 53.98653865, 13.90469501, 6.477351221, 35.07276818
Colinas e Maciços Costeiros, 75.9449268, 15.38404697, 6.629767317, 41.64091007
Colinas e Maciços Costeiros, 39.4126442, 5.120136768, 3.927845834, 11.49548849
Colinas e Maciços Costeiros, 143.1297623, 20.49099647, 6.993276018, 66.70200425
Colinas e Maciços Costeiros, 166.0666443, 20.69420658, 7.470383137, 89.02292583
Colinas e Maciços Costeiros, 185.3773824, 21.89762271, 7.953325333, 103.2916751
Colinas e Maciços Costeiros, 437.3137745, 24.79198253, 7.233763718, 198.5420143
Colinas e Maciços Costeiros, 384.6099697, 23.91211803, 9.4818726, 236.9352731
Colinas e Maciços Costeiros, 352.6442902, 25.91905252, 9.068360644, 176.1150512
Colinas e Maciços Costeiros, 17.64932912, 4.869482852, 2.593883426, 9.897204763
Colinas e Maciços Costeiros, 41.53269005, 5.977136562, 3.363590696, 12.27268573
Colinas e Maciços Costeiros, 481.8574517, 27.67781402, 6.937975068, 209.0252794
Colinas e Maciços Costeiros, 408.2917877, 22.57800271, 6.731543983, 213.5728355
Colinas e Maciços Costeiros, 188.5785064, 20.05078396, 8.078681386, 140.8031241
Colinas e Maciços Costeiros, 52.90296339, 10.86774227, 6.128965223, 23.09257396
Colinas e Maciços Costeiros, 28.64195207, 11.48449788, 6.121404606, 18.16464434
Colinas e Maciços Costeiros, 49.73617005, 8.947367671, 3.965320137, 13.52603948
Colinas e Maciços Costeiros, 45.13044469, 10.8277838, 5.665685561, 16.20351968
Colinas e Maciços Costeiros, 34.75453122, 10.57365651, 5.774302554, 21.09034928
Colinas e Maciços Costeiros, 49.59554745, 11.18575297, 6.543047624, 26.87774805
Colinas e Maciços Costeiros, 58.11851729, 8.999765214, 5.990363988, 15.31058033
Colinas e Maciços Costeiros, 42.24681791, 4.9407423, 3.594056128, 12.10457519
Colinas e Maciços Costeiros, 33.41537493, 9.751335297, 5.163465335, 22.11698831
Colinas e Maciços Costeiros, 33.05639804, 9.337429786, 5.033262544, 20.03475019
Colinas e Maciços Costeiros, 34.37051188, 10.66908237, 4.634498715, 17.94962016
Colinas e Maciços Costeiros, 38.77280807, 4.597884463, 3.054291382, 9.933260189
Colinas e Maciços Costeiros, 119.5506437, 20.25278471, 7.483664996, 65.26466195
Colinas e Maciços Costeiros, 25.67936422, 10.87311767, 7.460475567, 22.73916849
Colinas e Maciços Costeiros, 26.58654745, 10.05693306, 6.044573653, 18.17359776
Colinas e Maciços Costeiros, 15.99296119, 5.990371773, 4.915739873, 8.890944971
Colinas e Maciços Costeiros, 36.22702617, 13.12786767, 7.870692601, 33.12840535
Colinas e Maciços Costeiros, 29.24336773, 10.94234834, 4.607137118, 16.09428887
Colinas e Maciços Costeiros, 20.6062479, 6.986429395, 5.346234902, 15.82666254
Colinas e Maciços Costeiros, 95.6080985, 15.56313534, 7.486168804, 58.28985328
Colinas e Maciços Costeiros, 129.1377638, 22.32268483, 8.550524151, 79.42650817
Colinas e Maciços Costeiros, 130.4247687, 17.93339125, 7.963846935, 70.29143572
Escarpas e Reversos da Serra do Mar, 945.664233, 22.34424001, 7.892828547, 187.0711629
Escarpas e Reversos da Serra do Mar, 1189.863281, 31.09046013, 10.6611706, 210.4822956
Escarpas e Reversos da Serra do Mar, 842.8664175, 21.74331634, 8.424592967, 115.5990538
Escarpas e Reversos da Serra do Mar, 909.4085837, 23.69382404, 9.157920071, 103.6002233
Escarpas e Reversos da Serra do Mar, 1002.052293, 20.43923893, 8.560847474, 165.183503
Escarpas e Reversos da Serra do Mar, 1372.091362, 26.76982741, 10.67972003, 285.1316016
Escarpas e Reversos da Serra do Mar, 1304.758659, 24.65831702, 9.117843345, 227.4253189
Escarpas e Reversos da Serra do Mar, 1049.667099, 27.40540619, 9.924106362, 199.553975
Escarpas e Reversos da Serra do Mar, 1393.801808, 29.96641389, 12.2047274, 340.6744999
Escarpas e Reversos da Serra do Mar, 726.4804404, 23.32211627, 7.843459443, 182.868627
Escarpas e Reversos da Serra do Mar, 1010.051922, 20.96943113, 7.705986146, 143.9587012
Escarpas e Reversos da Serra do Mar, 1223.662514, 23.78845656, 7.767202468, 188.4970172
Escarpas e Reversos da Serra do Mar, 915.9672165, 22.08228094, 8.231661783, 137.8667967
Escarpas e Reversos da Serra do Mar, 1566.177349, 26.25964683, 9.343867677, 254.9525386
Escarpas e Reversos da Serra do Mar, 445.7642122, 23.75609434, 7.373554389, 140.7211738
Escarpas e Reversos da Serra do Mar, 255.3703287, 18.45796056, 8.188179399, 95.70602516
Escarpas e Reversos da Serra do Mar, 913.3547962, 17.77996279, 7.521612988, 56.80813783
Escarpas e Reversos da Serra do Mar, 1279.679302, 26.07940506, 10.05993583, 253.4175636
Escarpas e Reversos da Serra do Mar, 817.0454515, 30.78600657, 10.24045302, 394.2248667
Escarpas e Reversos da Serra do Mar, 631.5708693, 21.03679803, 7.081275188, 161.7204888
Escarpas e Reversos da Serra do Mar, 656.8441869, 28.46510035, 7.349367801, 165.0475765
Escarpas e Reversos da Serra do Mar, 407.5936787, 23.45430957, 8.732931547, 215.180036
Escarpas e Reversos da Serra do Mar, 815.9925673, 14.71135742, 6.206377685, 63.1829323
Escarpas e Reversos da Serra do Mar, 593.3907491, 23.16568807, 7.280080098, 267.97821
Escarpas e Reversos da Serra do Mar, 352.3416997, 27.38965503, 8.699573247, 177.4139215
Escarpas e Reversos da Serra do Mar, 535.6838007, 24.31300847, 7.877810921, 222.0741355
Escarpas e Reversos da Serra do Mar, 943.8060796, 27.40129103, 6.751598651, 271.1823203
Escarpas e Reversos da Serra do Mar, 720.2275331, 27.05704329, 8.094867414, 330.2773453
Escarpas e Reversos da Serra do Mar, 301.8021777, 23.59277653, 8.45389065, 145.3923542
Escarpas e Reversos da Serra do Mar, 688.3165131, 26.1785291, 5.282747663, 219.5546277
Escarpas e Reversos da Serra do Mar, 687.8854458, 21.34238241, 8.00839189, 165.0129769
Escarpas e Reversos da Serra do Mar, 352.1285852, 25.07570262, 7.245710137, 187.0172757
Escarpas e Reversos da Serra do Mar, 569.144663, 21.19333704, 7.980118866, 136.395928
Escarpas e Reversos da Serra do Mar, 742.5331636, 24.9240217, 9.812822107, 197.1433252
Escarpas e Reversos da Serra do Mar, 647.471649, 32.20680401, 8.85900564, 198.0696457
Escarpas e Reversos da Serra do Mar, 612.1048992, 28.11414571, 8.547402508, 242.8125219
Escarpas e Reversos da Serra do Mar, 356.506361, 19.94305955, 7.160901952, 180.3012459
Escarpas e Reversos da Serra do Mar, 214.8252949, 21.74218114, 8.185960198, 140.8119198
Escarpas e Reversos da Serra do Mar, 291.6979071, 26.53207206, 9.727347023, 147.399474
Escarpas e Reversos da Serra do Mar, 273.7899071, 23.2082287, 8.910690368, 186.3682111
Vale do Paraíba do Sul, 389.1612428, 16.68447501, 7.561161992, 76.10202046
Vale do Paraíba do Sul, 349.0438937, 13.20358498, 5.755033324, 31.97588075
Vale do Paraíba do Sul, 453.3545746, 17.11095743, 6.806232674, 86.75623704
Vale do Paraíba do Sul, 443.5990521, 14.02207677, 5.856232212, 48.17198031
Vale do Paraíba do Sul, 676.3184505, 16.71805337, 6.416279419, 88.53570926
Vale do Paraíba do Sul, 509.0334855, 16.07602582, 5.632524465, 40.82688592
Vale do Paraíba do Sul, 492.0542129, 9.510117084, 5.075036441, 25.35810367
Vale do Paraíba do Sul, 471.9305388, 17.90551663, 6.520840388, 64.32212546
Vale do Paraíba do Sul, 528.4130379, 11.8169042, 5.858247436, 35.74232194
Vale do Paraíba do Sul, 645.4257173, 15.03839705, 6.481128261, 62.66531786
Vale do Paraíba do Sul, 656.6683831, 15.85510511, 6.637609854, 58.97428427
Vale do Paraíba do Sul, 592.5325214, 17.34438707, 6.88686645, 63.93711958
Vale do Paraíba do Sul, 694.3704541, 17.30876367, 6.227952728, 61.86190411
Vale do Paraíba do Sul, 442.0222667, 15.74206161, 6.167816698, 50.03101701
Vale do Paraíba do Sul, 452.5146127, 15.42719095, 6.211304823, 43.02521824
Vale do Paraíba do Sul, 474.5587714, 16.13260682, 6.570564506, 56.69226632
Vale do Paraíba do Sul, 459.7131011, 13.20453953, 5.892373898, 40.28867183
Vale do Paraíba do Sul, 584.9238357, 17.0105337, 6.246902703, 51.32858623
Vale do Paraíba do Sul, 401.7740898, 12.25023433, 6.35273834, 26.81693228
Vale do Paraíba do Sul, 501.0186123, 16.77497607, 6.494237985, 55.2431781
Vale do Paraíba do Sul, 491.6423285, 16.55486948, 6.146541556, 50.22648798
Vale do Paraíba do Sul, 465.2379084, 15.79788905, 6.177663894, 39.39440435
Vale do Paraíba do Sul, 494.1969107, 18.23730458, 6.546940199, 59.10773714
Vale do Paraíba do Sul, 535.7679604, 20.4816824, 6.835876262, 91.61823255
Vale do Paraíba do Sul, 500.6644735, 17.57437457, 6.076822878, 42.25174216
Vale do Paraíba do Sul, 549.0392765, 15.24342465, 6.397629223, 59.16074616
Vale do Paraíba do Sul, 586.0964404, 17.47975071, 7.720426239, 62.32912178
Vale do Paraíba do Sul, 494.734778, 17.97982572, 6.437484791, 95.39518783
Vale do Paraíba do Sul, 708.1719604, 17.98197804, 7.021258668, 117.396188
Vale do Paraíba do Sul, 563.3953239, 19.83541906, 6.979823151, 118.9745228
Vale do Paraíba do Sul, 717.141814, 19.95665286, 6.818761239, 77.12836911
Vale do Paraíba do Sul, 590.2145741, 14.40044889, 6.023090536, 39.04516595
Vale do Paraíba do Sul, 543.0033631, 19.38274446, 7.153970752, 89.73881054
Vale do Paraíba do Sul, 606.1883733, 17.29783386, 7.194708675, 64.37174457
Vale do Paraíba do Sul, 731.1809499, 22.62667339, 7.634421291, 178.58629
Vale do Paraíba do Sul, 621.8359631, 18.36777855, 7.115952457, 116.5294942
Vale do Paraíba do Sul, 555.9846305, 17.04753094, 6.559649093, 98.90925172
Vale do Paraíba do Sul, 444.1666396, 15.3166372, 6.23809419, 59.82801779
Vale do Paraíba do Sul, 440.8562181, 15.45770858, 6.431667741, 34.15785408
Vale do Paraíba do Sul, 397.2588941, 10.04473175, 4.818231833, 18.37093746
